player_nickname,player_id,session_start_at,session_end_at,buy_in,buy_out,stack,net
"N8",EgGN9nMUKx,2022-06-02T04:00:21.908Z,,4000,,3088,-912
"Nick93000",cnfaoS1gm5,2022-06-02T03:59:28.285Z,,2500,,5400,2900
"Hehe",FTUmYC97SH,2022-06-02T03:15:24.373Z,2022-06-02T03:56:00.167Z,3000,0,0,-3000
"stretch",MrD2M7LMjj,2022-06-02T02:37:37.127Z,2022-06-02T03:52:34.749Z,5000,0,0,-5000
"aj",_ajpIiGLbJ,2022-06-02T02:25:38.926Z,,5000,,4950,-50
"Money_E",0dWRoywcYf,2022-06-02T02:22:29.162Z,2022-06-02T02:36:58.313Z,5000,7624,0,2624
"grape",z_wQF-Oyb4,2022-06-02T02:19:32.933Z,,5000,,7909,2909
"jl",4ggw5GoUa_,2022-06-02T02:14:16.647Z,2022-06-02T03:46:31.427Z,4000,16440,0,12440
"Hehe",FTUmYC97SH,2022-06-02T02:14:16.644Z,2022-06-02T03:13:21.589Z,5000,0,0,-5000
"Agnimandur",c1wMGCUKiO,2022-06-02T02:09:42.615Z,,17450,,21425,3975
"Hasbullah",02inrjNc6d,2022-06-02T01:53:04.119Z,,10000,5000,7493,2493
"ll",3jOPvAg0TP,2022-06-02T01:47:27.567Z,2022-06-02T01:48:35.803Z,5000,5002,0,2
"Money_E",0dWRoywcYf,2022-06-02T01:39:54.280Z,2022-06-02T02:15:20.484Z,5000,0,0,-5000
"Hasbullah",02inrjNc6d,2022-06-02T01:39:54.278Z,2022-06-02T01:52:13.189Z,5000,0,0,-5000
"bhu",H4tluL-kX1,2022-06-02T01:39:54.284Z,2022-06-02T04:07:59.843Z,5000,0,0,-5000
"Mattyice",lvQdKzQptv,2022-06-02T01:39:54.286Z,2022-06-02T02:24:35.270Z,5000,5803,0,803
"peppy",3UUkATWkPe,2022-06-02T01:39:54.282Z,,5000,,2909,-2091
"HANNIBAL",fa-XDw6nBi,2022-06-02T01:39:54.276Z,,5000,,7907,2907
"HANNIBAL",fa-XDw6nBi,,2022-06-02T01:28:25.873Z,5000,5000,0,0
